id	sentence	label
p1036	 it did n't seem to matter if they were small or larger -- or even larger than the ear piece .	size
p1037	" unfortunately , my last cell phone case could not accommodate the phone plus the larger battery ."	size
p1038	 everyone on here mentions that you need to get a larger cover for the v .	size
p1039	 back to what it did n't come with ... .	size
p1040	" it did'nt seem to get loud enough , no matter how high it 's turned up ."	size
p1041	" this might seem odd , but the phone will not cut into your stomach while driving ."	size
p1042	 once again they are not a compatible as what they might seem .	size
p1043	 it just does n't seem to recognize the phone any more ...	size
p1044	" be advised though that this is a very subjective area and , what might be comfortable to me , might bring tears to your eyes ."	size
p1045	" it works to turn the phone on , but without the back it looks odd ."	size
p1046	" first , the money pocket is much too small ."	size
p1047	 if you usually carry a 20 ' tape measure or a pager maybe you would like this .	size
p1048	" the description should read medium , large and extra large ."	size
p1049	 i do have smaller ears so those with smaller ears should be weary .	size
p1050	" secondly , while it does fit on the larger diameter right-hand side , the case will not shut because -- although the side of the two models are similar , the similarity ends at the upper left and right corners ."	size
p1051	" i work on desktops , pdas , servers and core network equipment such as cisco routers and switches , csu/dsus , frads and bisync equipment on one of the worlds largest it enterprises ."	size
p1052	 not wanting to give up my jawbone ( and rather not buy a new one ) i thought i would first give the jabra eargels a try ...	size
p1053	" i was all ready to return it , when i decided to try these jabra eargels ."	size
p1054	 if they fit your headset then i would give these gels a try .	size
p1055	" i got these in hope it would give me a good fit to my jawbone 2 , but they did not work for me ."	size
p1056	 this eargels was n't what i was expecting and i just want my money back as soonest plausible and it does n't work like it suppose to so i want to give it back without have to pay shipping	size
p1057	 just put it in my ear and give a little twist ... ..	size
p1058	" i bought these jabra eargels from another retailer , because i thought they had the colored ones , which are supposedly more durable than their clear counterparts ."	size
p1059	 not a perfect solution but much better than what came with the jawbone and its too cheap to not give it a try .	size
p1060	" someone recommended these to me , so i thought i 'd give them a try ."	size
p1061	" it 's not a small phone , so i was careful about checking each holster 's dimensions ."	size
p1062	 : ) ps u can ue this if u have a thick durable construction worker type of cell phone too .	size
p1063	" durable , easy to use , easily adjustable horizontally on your belt , when worn slightly behind hip it does n't get in the way of any chairs ( unless it 's some uncomfortable butthuggin ' chair ) ."	size
p1064	 durable : i find the headset durable even under multiple adjustments and highly flexible for ear position .	size
p1065	 the design of the connection to the phone is n't very durable .	size
p1066	" the case is somewhat durable , but not real tough ."	size
p1067	" i have not traveled with it yet , but it feels very durable to me ."	size
p1068	 no antennas jabbing you in the gut when you sit down .	size
p1069	 -good value-quality construction-durable	size
p1070	 they should construct something more durable for everyday use .	size
p1071	 because this is a small set of drivers the shafts are correspondingly small and the markings are then necessarily small .	size
p1072	" however these are good quality , and with a small magnet you can magnetize these yourself ."	size
p1073	" the tips are fairly rounded , not sharp , and as a result they will strip small screws ( like the ones often used in small rc models ) ."	size
p1074	 i have not tried to see if the tiny tips have been damaged by the way too small box .	size
p1075	" the replacement is not too hard , just a bit of work with small parts ."	size
p1076	" the case also contains a small pad , which is ideal for giving a small note to a non-palm associate ."	size
p1077	 the numbers are fine even if on the small side .	size
p1078	" i first noticed how small the unit really is , it 's able to fit in my hand with my fingers wrapped around it and barely weighs anything ."	size
p1079	" it is not perfect , but i find it suits my primary need of being small enough to carry everywhere ."	size
p1080	" i have small ears , so the only one i can use is the small , and it is still not small enough ."	size
p1081	 i use the small ones and my husband uses the large ones .	size
p1082	" and since i ca n't figure that out , & the fact even the small one is too big , it keeps slipping out of my ear ."	size
p1083	 i have small ears so this has always been a problem for me .	size
p1084	 if you have small ears do n't purchase this item .	size
p1085	" if you want the small and med , i 'll send them to you for shipping ."	size
p1086	" it is way too light , and way too small ( these are good things ."	size
p1087	 one bad side effect of being small is that it 's a little hard to hold/balance while trying to type fast .	size
p1088	 this is n't all that easy to do in one motion with one hand on a phone that 's quite small .	size
p1089	" it could have been the best hf-set ever , however i 've got a small problem : when used with 1800mhz and 900mhz gsm phone you can constantly hear a buzz in the earpiece , obviously generated in the cable from the antenna ."	size
p1090	 this set is just right for small or `` bigger '' ears .	size
p1091	" unfortunately , it hangs on my ear in a way that feels kind of heavy and large so i will need to return it ."	size
p1092	" if you have really small ears like me , this might not work well ."	size
p1093	" finally , the battery meets the phones ' overall image of being incredibly light and small ."	size
p1094	 they obviously wo n't fit every device out there so you maybe taking a gamble .	size
p1095	" there is only one way the plug goes in , the other end is different anyway , so it tells you if one side does not fit then try the other side ."	size
p1096	 i sold my friend my old one for $ 30 because he thought it was just the neatest thing and he had to have one !	size
p1097	" i sometimes have to wiggle it to get it to charge right , but it works ."	battery
p1098	 it does not fall out but if you wiggle it just right it disconnects the charge .	battery
p1099	 after charging it fully it wo n't turn on or go into discovery mode .	battery
p1100	" instead of charging the phone , it discharges my phone and heats up the device so much that i have to remove it and then switch off my phone for some time ."	battery
p1101	 this case does n't hold a charge any better than my phone - plus the phone is constantly beeping and going in between charging and non-charging mode .	battery
p1102	" ( though it is not charging the instrument , i am optimistic in seeing this as a feature : - ( )"	battery
p1103	 the third does n't deliver the current advertised and ca n't keep up with the current draw of my cell phone when it 's in its idle state even when using the tablet socket .	battery
p1104	 i bought this so i could charge both my iphone and my girlfriends but it just ends up killing it more then charging it	battery
p1105	 not so much that i have to stop charging but like when you are near power lines and the radio station is far away .	battery
p1106	 it does not keep up with the current draw .	battery
p1107	 i prefer my car to be clutter free and this small charging device allows multiple devices to be charged at once without needing multiple plugs ! !	battery
p1108	 i have not yet tried charging two devices at once .	battery
p1109	 i am always charging my phone in the car because im always on the go .	battery
p1110	" after few minutes of charging , it felt hot ."	battery
p1111	 the inverter had to be unplugged when the car was not running and it got very hot when charging ...	battery
p1112	 the slightest movement meant my phone was n't charging .	battery
p1113	 the phone beeps on and off and doesnt work when charging .	battery
p1114	 but this will prevent possible frying of the charger and/or device being charged .	battery
p1115	" in the beginning , i could talk on the phone or have it in any position while charging ."	battery
p1116	 no more bending over to use phone while charging !	battery
p1117	" is a little bulky , but does the job of charging the cell phone ."	battery
p1118	 meaning i would connect my phone and sit it down while charging and then it would stop charging .	battery
p1119	 perhaps the only issue is that get hot during charging .	battery
p1120	" a person does n't want any trouble with an electrical device , it could overheat or worse ."	battery
p1121	" a slight movement or vibration can disconnect it , and you wo n't be charging any more ."	battery
p1122	 stopped charging unless i had it turned a certain way so it was n't reliable at all anymore .	battery
p1123	 the only issue it keeps cutting in and out bc during charging but it 's not a big deal though .	battery
p1124	 the thing fit perfectly on my cell and it said it was charging but i would come back check the progress and it was always on 8 % charge .	battery
p1125	 i can work at my desk and have my phone with me while it charges as opposed to having to lean down to check it every time it goes off .	battery
p1126	" while at my computer , i only have the option of usb charging ."	battery
p1127	" if i am talking on my phone at the same time it is charging it does not charge at all , it just keeps at current charge ."	battery
p1128	" which means i have to constantly take it off to charge the phone , which further weakens the stupid top making it so that it constantly falls off ."	battery
p1129	 after a few hours of charging i inserted my sim card and tried browsing .	battery
p1130	 i just want an instant change from 9 percent to 100 percent in 5 minutes ...	battery
p1131	 it was too weird when charging the phone and the case at the same time .	battery
p1132	 can go entire 24 hours without charging ; but i am not a kid playing games all day long .	battery
p1133	" it is a charging cable , so while you are transferring music , ringtones , and wallpaper , your phone is being charged at the same time ."	battery
p1134	 i plugged into my car and after switching the cable and ports i realized that my samsung galaxy 3 was not charging .	battery
p1135	 i use it to charge my samsung galaxy s2 and my garmin gps .	battery
p1136	 we charge a samsung and iphone using this outlet .	battery
p1137	 the charger only lasted a week ad after that it just stopped charging my samsung galaxy s3 .	battery
p1138	 using this charger with a samsung galaxy s phone .	battery
p1139	 this charger woks wonderfully on the samsung galaxy s4 .	battery
p1140	" they both have samsung galaxy phones and needed a car charger so being the oem fanboy i am , i swooped up on a couple of these for them while remaining slightly skeptical of what was actually going to show up in the mail at this price ."	battery
p1141	" this is very disappointing , considering these are actual samsung chargers and we were using galaxy s2 phones with them ."	battery
p1142	 it 's a car charger for my samsung galaxy 2 .	battery
p1143	" contrary to the description , this charger does not charge the samsung galaxy s2 phone at all ."	battery
p1144	 i own the samsung galaxy s2 qnd needed a charger to use on my toyota highlander .	battery
p1145	" this was a better charger than the one that i received with my samsung galaxy ii , because it is detachable and can be use separate from the plug ."	battery
p1146	 there really is n't much to review on an item like this but i recently bought one of these because my samsung galaxy s2 phone charger broke and it has worked great .	battery
p1147	 i 'm using it with a samsung galaxy s2 ( i9100 ) without any issue .	battery
p1148	 this charger does not work with samsung galaxy note 3 .	battery
p1149	 could n't of asked for a better deal and it works perfectly !	battery
p1150	 i could n't have asked for a better phone .	battery
p1151	 95 price did n't seem to bad but then i got charged $ 11 .	battery
p1152	 i 'm now able to charge my phone a lot quicker .	battery
p1153	 would not sync or charge out of the box .	battery
p1154	 i do not use it anymore as i get tired of always recharging .	battery
p1155	 also the ps3 has to be turned on for it to charge .	battery
p1156	" since this case 's input is 500mah , charging took approximately 7 hours , give or take an hour ."	battery
p1157	" it will not fully charge the phone from below 40 % in my situation , but adding 60 % charge overall works for me ."	battery
p1158	 that being said after getting this it needs to be charged by itself for 5 hours .	battery
p1159	 it gets maybe 3 hours of extra charge and it is not worth it just being your phone charger it 'll work better..	battery
p1160	 my biggest problem is how long it takes to recharge up your phone .	battery
p1161	" nothing more frustrating than finding all of a sudden one quits working , and you have no way to recharge your phone ."	battery
p1162	 does not light up does n't not charge my phone or any of the apple products i have ...	battery
p1163	 on top of that the charge takes amazingly long .	battery
p1164	 the sign for charge comes but the % of charge does n't not change .	battery
p1165	" nice item to have for travel and such he has 3 nintendos , and keeping them charged on the run can be a problem"	battery
p1166	 i have tried this with multiple devices and it just does n't seem to want to charge them .	battery
p1167	 and the unit still shows mid range charge remaining !	battery
p1168	 the jack to the phone does not fit properly - generates an error message on phone but it does charge	battery
p1169	 slightly irritated due to dead phone and seemingly no other products available that will charge my phone .	battery
p1170	" i have had 12v auto chargers for other cellphones that would not charge a dead phone , but this one does it quickly and effectively ."	battery
p1171	" seems to take awhile to charge in the car but who knows , maybe just seems that way ."	battery
p1172	 this was purchased so that i could charge my plantronics headset while in the truck .	battery
p1173	" also , it seems to charge slower than others i have owned but it does do the job"	battery
p1174	" great product ; if my phone is running low , i can always quickly charge it up while i 'm driving around ."	battery
p1175	" however as time passes , the charge percentage drops indicating it is not working ."	battery
p1176	 excellent unit and compact to keep phone charged on trips .	battery
p1177	 i am not sure if i got a defective product but it is very upsetting to sit in your car for hours and not see your phone recharge .	battery
p1178	 i had to wedge my phone against something so the charger was being pressed down on for it to charge .	battery
p1179	" also , when your phone is low on charge and you 're in traffic , it comes in handy ."	battery
p1180	" it seems to charge okay , but the length is the problem ."	battery
p1181	 ordered 2 to charge my s2 in both vehicles ; however neither appear to be able to put a charge into my phone .	battery
p1182	 all the stars had to be aligned in order for the phone to charge .	battery
p1183	 had it charged on a trip for a good hour and when i unplugged it i was at a lower percentage then when i first charged it .	battery
p1184	 not only does this not charge my phone but it takes the charge away from it .	battery
p1185	 the rate of charge for the htc phone is only about 10-20 % per hour4 .	battery
p1186	 but then i noticed a squealing noise while it charged and is really annoying when driving .	battery
p1187	" earlier , i used a different product which sometimes does n't charge my phone properly ."	battery
p1188	 i have to get creative and position the cord 'just so ' and it will charge my phone .	battery
p1189	 on a long trip i was forced to turn the phone completely off for a few hours to get it to charge .	battery
p1190	" however , after an hour driving and leave it there , it does n't seems to be charged at all ."	battery
p1191	 connection was lose and did not charge the bb 's .	battery
p1192	 seems to work fine but it probably take a whole day to fully charge the s4 .	battery
p1193	 took 8 times longer to charge with this unit !	battery
p1194	 it came crushed and is slow to charge my phone .	battery
p1195	" i sobbed for hours , hoping an answer to my problem would appear to me ."	battery
p1196	 everything works fine and my phone is gladly charged ( : im so happy that my phone can be gladly charged .	battery
p1197	" the are very tight , chargers my phone fully in 2hrs , keeps the charge and are really quality products ."	battery
p1198	 i tried using it and it would not charge .	battery
p1199	" where a good quality charger will charge my phone in an hour , this takes 12 hours or more.."	battery
p1200	" the part that goes into the phone to charge , came apart ."	battery
p1201	 taped it together in order to charge my phone .	battery
p1202	 i also am on fb and other social media sites for work and my phone would be near death by noon .	battery
p1203	 my phone is charged in a matter of an hour and 30 minutes .	battery
p1204	 can not charge any more & # 65292 ; i feel so sad & # 65292 ; i hope they will solve this problem	battery
p1205	 case came charged lasted a few hours and have not been able to recharge .	battery
p1206	" the device still blows it 's charge , but not to any use ."	battery
p1207	" after that charge went , i recharged it over night , and it was still dead the next day ."	battery
p1208	" unless you want to leave your phone on the charger for hour after hour to charge it , this cord has not enough power to charge a toy ."	battery
p1209	" was in the store just over 2 hours , and after the 2 hrs ."	battery
p1210	 my biggest pet peeve is that it no longer allows me to charge my phone first .	battery
p1211	 i purchased this item hoping to get that full 12 hours extra but i was met with maybe 3 hours extra ...	battery
p1212	 firefighter work 24 hr shift and never know when if will get to recharge so this is perfect for me and anyone else that ca n't always plug in to charge each day .	battery
p1213	 i had to return mine because the charge was a trickle charge as if my device was connected to a computer via usb .	battery
p1214	 bonus it can also charge your phone ( did n't know prior to purchase )	battery
p1215	 it allows me to charge my phone while on the go .	battery
p1216	 i am able to keep my phone charged while on the go .	battery
p1217	" this is a cute case , i bought it for my wife but it was really hard to take off considering it was way too tight for the phone ."	battery
p1218	 the only thing i did n't like about this product is how hard it is to take it off once you have put it on .	battery
p1219	 although the case does come off easy so it would be a nice one to have should you have to take it off to mount in the dock .	battery
p1220	" but once you clip it on , it 's hard to take it off ."	battery
p1221	 also the case is very hard to take apart .	battery
p1222	" the led lit up and my phone showed it was charging , but it never charged and would actually drain while being plugged in ."	battery
p1223	" and when it did show a full charge , it only stayed on for 15 seconds and then turned itself off ."	battery
p1224	 ) 4 full recharges from 0-100unit out of the box charges in 4 hrs .	battery
p1225	" it gives a full , complete charge , in a short period of time ."	battery
p1226	" now , it wo n't hold a full charge ."	battery
p1227	 this case does n't give my phone a full charge even when i turn it on when my phone is at 25 percent .	battery
p1228	" when it works , charging is very very slow ."	battery
p1229	" product is a slow charger for over night , but not to be using while connected ."	battery
p1230	 but they are very slow at charging up my galaxy phone .	battery
p1231	 i like how the case feels in the hand very good protection but it puts my phone into slow charge mode ( usb charging ) instead of ac charging ? ? ?	battery
p1232	 once activated in re-charge mode without the external charger the case charges extremely slow .	battery
p1233	" feels good and all , but the charging is too slow ."	battery
p1234	" when i plugged the powerbear in , after a few minutes the case became extemely hot ."	battery
p1235	" upon receiving my powerbear case , i initially had a good reaction to it 's size , functionality , and how it felt in the hand ."	battery
p1236	" on the contrary , with powerbear , i never take it off because i ca n't even tell the difference ."	battery
p1237	 thank you powerbear ! ! ! ! ! ! ! ! ! ! ! ! ! !	battery
p1238	 ) charging port on the `` powerbear '' is backwards .	battery
p1239	 you ca n't charge your phone while it 's in the powerbear case because it will charge the powerbear only while also magically sucking juice from your phone .	battery
p1240	 now my phone is charged anywhere anytime thanks to powerbear .	battery
p1241	 bit chunky and very tacky powerbear logo on the back .	battery
p1242	 it was drained and my cell phone only charged to 79 % .	battery
p1243	 i disconnect the phone when i stop and take the fully charged phone with me .	battery
p1244	 i can literally have my phone ( samsung galaxy 2 ) charging for over 6 hours and it will not be fully charged .	battery
p1245	" the case , fully charged would stop charging my phone unless i plugged it back in ."	battery
p1246	 i received this case yesterday and charged it to fully capacity and put my phone in it .	battery
p1247	 once i received the product in the mail i fully charged the cell phone before operating it .	battery
p1248	" i love how you can charge your phone through this case , and when your phone is fully charged it will immediately switch to charging the case ."	battery
p1249	 this last weekend i charged the case fully and used it today ( monday ) to charge my phone .	battery
p1250	 my phone was only at 20 % so charging it with the case should have charged it fully .	battery
p1251	 i actually have home buttons for my iphone- and just thought it was a good choice for him .	battery
p1252	 not very loud i thought since i was made for play station that the quality of sound would have been better	battery
p1253	" i thought i would try to save a little money , stupid ."	battery
p1254	" i thought that this was the same unit , but unfortunately it was not ..."	battery
p1255	 i figured because of the price that the quality would be unsatisfying but i was wrong ! ! !	battery
p1256	" i thought about getting another since they are so cheap , but then i thought better of it ."	battery
p1257	 i thought it would stick to my phone but it did n't .	battery
p1258	" my only issue was that i thought it would be black all over , and it appears to be the normal h700 that everyone else is selling ."	battery
p1259	 it 's just not what i thought i was purchasing .	battery
p1260	 i thought this would be a samsung product but look like a cheap counterfiet .	battery
p1261	" after receiving this , i thought it would be great ."	battery
p1262	 i bought this for my wife a while back and thought she would like it .	battery
p1263	" i know it was a cheap buy , but i thought at the least it would do what it is suppose to and fit on an actual phone ."	battery
p1264	" it 's not that bad , but i thought it would be better ."	battery
p1265	 this case turned out better than i thought it would be .	battery
p1266	 i thought i would have been a little better then what i thought .	battery
p1267	 first i thought this phone would be too big but it turned out to be great size and has excellent features .	battery
p1268	 it was not as sparkling as i thought it was going to be either .	battery
p1269	 bought as i thought it would be nice to have a pointer for my ipad .	battery
p1270	" i made a good choice wheni thought of buying this , its very safe , & not to bulky !"	battery
p1271	 i will say the high output port is slightly better 800ma vs 700ma .	battery
p1272	 it does n't have enough output to charge my phone .	battery
p1273	 i did a little research and this is the cheapest 2 prong high output charger i could find .	battery
p1274	 1 amp and which is 1 amp is not clear like the plastic faced one is with a diagram to tell which is output 1 and which is output 2 .	battery
p1275	 generic ( ma output and reliability at the top of the list !	battery
p1276	" if the phone is doing anything ( even just idling on ) , the output of this charger is not enough to keep my s2 from draining ."	battery
p1277	" when plugged in , one hears a high pitch noise on the speaker output ."	battery
p1278	" i got what a paid for , after a few months the charger started turning off and on a failing to maintain continuous power ."	battery
p1279	" that 's a++ in my book , especially if you use the gps a lot which drains the iphone pretty fast ."	battery
p1280	" if your the type that runs off and forgets to charge up the cell phone , this can be a life saver ."	battery
p1281	 charger works with my phone and charges without over heating or draining like some others have said .	battery
p1282	 they charge extremely slow and i suspect some damage to my phone because it actually ended up overheating it .	battery
p1283	" it does not charge my phone and in fact , it drains the phone ."	battery
p1284	" it charges and charges and then when the phone dies , it dies as well maybe 25 mins later !"	battery
p1285	" it charges itself ( wasting a lot of energy and precious wall time ) , ultimately charging my phone less ."	battery
p1286	" also , it is a pain to remove from the phone ."	battery
p1287	 it 's also a little tricky to remove from your device .	battery
p1288	 hard to remove which is probably a good thing .	battery
p1289	" a little more challenging to remove , but you do n't want a case that is falling off ."	battery
p1290	" however , this is not a good buy if you have to remove the phone from its case often to charge it ."	battery
p1291	 but i 'd like it better if it were easier to remove .	battery
p1292	" i am just worried that if i need to remove it for some reason , it will break when i try to remove it ."	battery
p1293	" however , once you snap it on , it is almost impossible to remove withouth breaking the plastic ."	battery
p1294	 it 's very difficult to remove the case once you put it on .	battery
p1295	 the only problem is trying to remove the back cover .	battery
p1296	 i do however have to say that it is difficult to pull the phone off of the clip with ease .	battery
p1297	" i ordered the hard cover for my blackberry curve thinking it would jazz it up a bit , but i did n't realize how difficult the case would be to remove ."	battery
p1298	 it was extremely difficult to remove the case to put the phone in the charger .	battery
p1299	 very difficult to remove the cover once you have it on the phone	battery
p1300	 the case comes in 2 parts that snap together - rather difficult to take off .	battery
p1301	 they do not plug in good in the device in the vehicles so they do not charge either of our phones .	battery
p1302	 that 's with no wifi/bluetooth on for either charge .	battery
p1303	" this charger does that , but none of the batteries i charge on it seem to last as long as when i charge them on the motorola charger ."	battery
p1304	 the case would not charge every time when connected to usb charger .	battery
p1305	" i wake at 5am , and the phone will last me until with the case charged until 10pm ..."	battery
p1306	" do n't waste your money , it will not charge both case and phone you have to cycle between the two and charge time is slow and it only bought an aditional 30 % battery life when you do manage to get both the phone and case charged ."	battery
p1307	 if you want to charge both phone and case battery at the same time turn on the case look at battery icon on your phone to ensure case is charging your phone .	battery
p1308	" if you do n't make sure the case is on when you charge it , it will only charge the case ."	battery
p1309	 it only adds about 20 % more battery when both the case and the phone are on and the case battery does n't last long .	battery
p1310	" when i 've attempted to charge the phone in the case overnight ( with the case turned on ) , the phone is still not fully charged some 7 hours later ."	battery
p1311	" the powerbear case became an extension to my phone that i never have to take off because when i charge it at night , it charges both my phone and the case , and i have battery life for more than two days ."	battery
p1312	" ) does n't charge the phone and the case when connected , only case ."	battery
p1313	" i can not charge my phone with this case on , have to remove the case and then charge my phone , not recommended at all ."	battery
p1314	" brought it home just in case the problem was in friends apartment , and it does n't charge my phone despite the & # 34 ; charge & # 34 ; function showing ."	battery
p1315	" now , the case will not charge my phone and i can no longer charge my phone while it is in the case ."	battery
p1316	" so , i took it off and tried to charge the case separately from the phone ."	battery
p1317	 i do n't know why i was charged this much money for a phone case !	battery
p1318	 this case allows my phone to be charged at all times during the day .	battery
p1319	 the charge function is not as good as my previous case .	battery
p1320	 the case has to be activated in order to charge the phone even with external charger .	battery
p1321	 ido n't know how but it 'll only charge if iput it in this case ...	battery
p1322	 phone charges when you put the case to charge so they charge at the same time .	battery
p1323	" he has a charge case for his last phone , and it covered the whole thing ."	battery
p1324	 i have to remove the case every time i want to charge my phone because the holes do not line up .	battery
p1325	" also , you ca n't charge your phone when the case is on ."	battery
p1326	" the case had arrived defective , it was broken there was no possible way to be used ."	battery
p1327	 overall it looks like a good product but mine came in defective and broken though .	battery
p1328	 the item came today but the case is defective .	battery
p1329	" this is going to change your life , but it works ."	battery
p1330	 i 'm glad that it lasts from start to end .	battery
p1331	" overall i would not buy this particular charger from any seller , its sucks the batter life out of your phone and gets super hot ."	battery
p1332	 but it only gives 50 or max 60 % battery..	battery
p1333	" unlike most of the rechargeable battery cases , powerbear lasts up to 2 whole days ."	battery
p1334	 it 's userful when your phone is out of battery .	battery
p1335	" also , its takes the jaws of life to pry off the covering !"	battery
p1336	" really , when pondering life and all of its wonder , is n't that all you need ?"	battery
p1337	 i had to buy a new battery after using .	battery
p1338	 when turned on it quickly recharges the battery .	battery
p1339	 connects from far away and battery lasts long .	battery
p1340	 battery lasts all day .	battery
p1341	" arguable one of the best cases for the iphone 4 , the battery lasts me literally for days and i am very impressed ."	battery
p1342	 started at 4amwas at 30 % by 3pm ( devices battery ) had to use gps for 2 hours driving10pm made it to destination at 10 % battery power after depleting both phone and cover 's battery .	battery
p1343	 with the extended battery i am able to enjoy all of the phones features without losing power .	battery
p1344	" it 's a life saver , and there is n't too much on the market at the time for this phone so i am happy with it ."	battery
p1345	 ok as it goes only able to use the front as i use the extended life battery and back will not fit on	battery
p1346	 the battery pack doubles my original charge and lets me go the full day without charging my phone .	battery
p1347	" great case , sturdy , doubles battery , wont have to worry any more ."	battery
p1348	" i like this particular design because it 's classy , complementing the evo lte ."	battery
p1349	 does n't seem to increase the slimness of the evo 4g lte overly much .	battery
p1350	 your phone loses % while it says it 's being charged .	battery
p1351	 i think the plug gets loose and loses connection too easily .	battery
p1352	 product came exactly as described and would recommend getting this if you like yourself a galaxy s3 and i would give this product a 5 star	battery
p1353	 this product was exactly what i thought i was ordering .	battery
p1354	" if this sounds like something you want , it 's exactly what you 'll get ."	battery
p1355	 i got exactly what i thought i was getting .	battery
p1356	 this is not working for my blackberry phone 9900 not sure why ?	battery
p1357	" my ipod touch ( twice ) , my blackberry , and even my golf gps unit ."	battery
p1358	 this adapter is exactly as described and works perfectly with my blackberry pearl .	battery
p1359	" this charger is what i wanted and it works great in recharging my blackberry , either at home or at a convention ."	battery
p1360	" this oem charger is from blackberry , and works as advertised ."	battery
p1361	 my daughter does not own a blackberry phone but is always using my charger .	battery
p1362	 does this charger work for the blackberry flip ?	battery
p1363	 but anyway more to the point someone please enlighten me and tell me if this charger works for the blackberry flip	battery
p1364	" i wish it has a retractable cord like some other chargers i 've used , but other than that , i love it ."	battery
p1365	 i bought this one because it was a fixed wire into the plug and longer .	battery
p1366	 on products such as these i would suggest placing measurements on the length of the chord so that consumers have an idea of what they are getting .	battery
p1367	 this charger seems to be the same as the original but a little longer nothing wrong with more room from the wallfor using while charging	battery
p1368	 the coiled wire is much shorter than any other charger i have ever used .	battery
p1369	" good product , i just wish it have a button to retract the string instead of pulling ."	battery
p1370	 just don '' t push retract button without holding other end !	battery
p1371	 it does not come with instructions and it took me about a day to figure out it had a button to retract it .	battery
p1372	" i have n't had it very long and this past week while on vacation , it failed to work any longer ."	battery
p1373	" in less than 7 months , it no longer works ."	battery
p1374	" best-n-price says `` sorry , its been longer than 7 days , your problem now '' ."	battery
p1375	 perhaps this one will actually work longer than 90 days .	battery
p1376	" so , do n't believe the thing is really longer than 2 feet , if that ."	battery
p1377	 i suspect it is the one that took a week longer than the other .	battery
p1378	 the cherry on the cake is because it is longer than the factory original l received with the phone .	battery
p1379	 it is longer than what is given with the phone .	battery
p1380	 i just wish it ( they ) were just longer ! ! ! ! !	battery
p1381	 it wo n't stay on the phone and is of no use any longer .	battery
p1382	" when you hold the phone tightly with way , the touch screen no longer works ."	battery
p1383	 the curly cable is short and stiff - very inconvenient to use .	battery
p1384	" the moment i started using it , it had a short in it ."	battery
p1385	" the charger does its job , but it 's short !"	battery
p1386	 this case clip for your phone is pretty but kinda irritating it catches on my hair and pulls it a lot	battery
p1387	" however , one could never use it that way because the thing pulls back into the coiled position that is not more than maybe two feet ."	battery
p1388	" 5 ' long , too short to reach the plug at my computer desk , but long enough to be usable on my night stand ."	battery
p1389	" one was much shorter than the other , and this shorter cable was not what i was expecting ."	battery
p1390	 i have tested this against the griffin dual output unit .	battery
p1391	 it has dual ports for both charging my cell phone and my gps .	battery
p1392	" it 's a great dual charger that will allow me to slow charge a device , quick charge one with the 2 ."	battery
p1393	 this dual port usb car charge does all it is suposed to do and looks good doing it !	battery
p1394	" my tab does not recognize the high power port and will either charge while off or use power while on , it will not charge while powered on ."	battery
